OGLE-BLG-ROT-000210 17:22:34.89 -29:41:52.3 BLG615.24.10818                                                               
OGLE-BLG-ROT-000211 17:22:39.63 -30:04:15.2 BLG615.14.92849                                                               
OGLE-BLG-ROT-000212 17:22:39.73 -29:43:11.4 BLG615.23.111733                                                              
OGLE-BLG-ROT-000213 17:22:40.16 -30:26:26.2 BLG615.06.86107                                                               
OGLE-BLG-ROT-000214 17:22:41.25 -29:27:39.5 BLG615.31.99924                                                               
OGLE-BLG-ROT-000215 17:22:42.81 -30:26:51.9 BLG615.06.85936                                                               
OGLE-BLG-ROT-000216 17:22:45.02 -29:57:18.4 BLG615.14.97858                                                               
OGLE-BLG-ROT-000217 17:22:45.11 -29:40:50.3 BLG615.23.115870                                                              
OGLE-BLG-ROT-000218 17:22:45.86 -29:00:25.2 BLG614.06.93543                                                               
OGLE-BLG-ROT-000219 17:22:47.38 -29:39:02.9 BLG615.23.88478                                                               
OGLE-BLG-ROT-000220 17:22:48.29 -28:03:16.6 BLG614.31.79089                                                               
OGLE-BLG-ROT-000221 17:22:48.46 -29:46:46.6 BLG615.23.69574                                                               
OGLE-BLG-ROT-000222 17:22:48.96 -29:34:17.5 BLG615.23.93109                                                               
OGLE-BLG-ROT-000223 17:22:49.71 -29:37:54.1 BLG615.23.88383                                                               
OGLE-BLG-ROT-000224 17:22:51.81 -30:25:36.1 BLG615.06.59737                                                               
OGLE-BLG-ROT-000225 17:22:55.35 -29:44:30.0 BLG615.23.74235                                                               
OGLE-BLG-ROT-000226 17:22:56.79 -30:25:38.9 BLG615.06.59733                                                               
OGLE-BLG-ROT-000227 17:22:58.55 -29:37:15.4 BLG615.23.53303                                                               
OGLE-BLG-ROT-000228 17:23:01.74 -29:47:22.3 BLG615.23.34371                                                               
OGLE-BLG-ROT-000229 17:23:02.00 -29:04:39.4 BLG614.06.94798                                                               
OGLE-BLG-ROT-000230 17:23:02.57 -29:37:42.8 BLG615.23.52984                                                               
OGLE-BLG-ROT-000231 17:23:03.52 -30:27:31.7 BLG615.06.26871                                                               
OGLE-BLG-ROT-000232 17:23:04.74 -30:22:25.1 BLG615.06.34339                                                               
OGLE-BLG-ROT-000233 17:23:06.14 -29:06:56.6 BLG614.06.16589                                                               
OGLE-BLG-ROT-000234 17:23:07.89 -30:23:33.9 BLG615.06.34176                                                               
OGLE-BLG-ROT-000235 17:23:08.96 -29:53:24.3 BLG615.14.23765                                                               
OGLE-BLG-ROT-000236 17:23:09.07 -28:11:07.3 BLG614.31.13679                                                               
OGLE-BLG-ROT-000237 17:23:10.05 -29:56:56.2 BLG615.14.19579                                                               
OGLE-BLG-ROT-000238 17:23:14.95 -29:51:13.6 BLG615.14.28144                                                               
OGLE-BLG-ROT-000239 17:23:15.59 -28:01:50.6 BLG614.31.40211                                                               
OGLE-BLG-ROT-000240 17:23:15.91 -29:20:29.3 BLG615.31.16292                                                               
OGLE-BLG-ROT-000241 17:23:16.29 -29:42:48.8 BLG615.23.11061                                                               
OGLE-BLG-ROT-000242 17:23:25.46 -29:24:08.6 BLG615.30.129588                                                              
OGLE-BLG-ROT-000243 17:23:26.58 -29:11:52.6 BLG614.05.68208                                                               
OGLE-BLG-ROT-000244 17:23:26.64 -30:17:06.4 BLG615.05.97393                                                               
OGLE-BLG-ROT-000245 17:23:28.49 -29:33:34.8 BLG615.22.139033 BLG331.8.90667                                               
OGLE-BLG-ROT-000246 17:23:29.01 -30:26:14.6 BLG615.05.83851                                                               
OGLE-BLG-ROT-000247 17:23:30.48 -29:30:09.6 BLG615.30.77714  BLG331.8.140310                                              
OGLE-BLG-ROT-000248 17:23:33.71 -28:04:34.0 BLG614.30.84752                                                               
OGLE-BLG-ROT-000249 17:23:34.82 -29:23:53.9 BLG615.30.92649  BLG331.7.96214                                               
OGLE-BLG-ROT-000250 17:23:34.82 -29:54:49.7 BLG615.13.95997                                                               
OGLE-BLG-ROT-000251 17:23:35.94 -28:57:07.5 BLG614.05.121514                                                              
OGLE-BLG-ROT-000252 17:23:36.50 -29:58:25.0 BLG615.13.90737                                                               
OGLE-BLG-ROT-000253 17:23:37.17 -28:04:51.0 BLG614.30.83505                                                               
OGLE-BLG-ROT-000254 17:23:40.24 -29:34:42.7 BLG615.22.100710 BLG331.8.49209                                               
OGLE-BLG-ROT-000255 17:23:40.38 -29:40:15.1 BLG615.22.90212                                                               
OGLE-BLG-ROT-000256 17:23:42.07 -29:41:20.8 BLG615.22.51883                                                               
OGLE-BLG-ROT-000257 17:23:42.40 -28:03:47.3 BLG614.30.83592                                                               
OGLE-BLG-ROT-000258 17:23:43.18 -30:06:38.1 BLG615.13.38482                                                               
OGLE-BLG-ROT-000259 17:23:43.44 -29:07:50.5 BLG614.05.84572  BLG331.5.50813                                               
OGLE-BLG-ROT-000260 17:23:43.79 -30:05:28.7 BLG615.13.38578                                                               
OGLE-BLG-ROT-000261 17:23:43.98 -29:26:10.7 BLG615.30.45849  BLG331.7.52560                                               
OGLE-BLG-ROT-000262 17:23:44.29 -28:40:18.3 BLG614.13.91108                                                               
OGLE-BLG-ROT-000263 17:23:44.34 -29:10:01.6 BLG614.05.67906  BLG331.5.5490                                                
