#Name,Date,RaDeg,DecDeg
Gaia19eve,2019-10-28 22:07:39,9.65099,-73.80383
Gaia19eua,2019-10-24 21:19:10,176.66935,-64.11875
Gaia19ett,2019-10-24 09:18:38,178.73444,-63.81044
Gaia19efr,2019-09-22 14:09:42,17.47554,-72.14858
Gaia19ebj,2019-09-12 03:00:48,272.20422,-21.6168
Gaia19dsm,2019-08-22 03:54:26,331.32575,54.04634
Gaia19dsg,2019-08-23 06:43:00,141.16119,-52.48694
Gaia19dru,2019-08-21 20:16:07,268.59182,-28.71534
Gaia19drs,2019-08-22 01:44:05,243.88511,-52.02964
Gaia19dri,2019-08-21 02:45:50,282.48445,-2.84204
Gaia19dqc,2019-08-18 23:54:22,113.30713,-16.67776
Gaia19dos,2019-08-16 03:10:47,298.21425,22.23961
Gaia19diu,2019-08-05 09:04:41,301.32066,32.17954
Gaia19dab,2019-07-12 23:14:28,121.54821,-33.16809
Gaia19czy,2019-07-13 06:37:40,301.6989,32.23594
Gaia19czx,2019-07-12 06:37:36,301.85043,35.68249
Gaia19czw,2019-07-12 12:38:01,302.32717,34.94692
Gaia19czi,2019-07-11 05:21:19,127.63125,-40.92109
Gaia19cwh,2019-07-06 13:05:57,3.09651,60.8852
Gaia19cwf,2019-07-06 10:00:35,165.61016,-63.76364
Gaia19cwa,2019-07-05 23:57:11,186.11845,-61.94409
Gaia19cug,2019-07-02 03:30:12,85.04029,-69.17005
Gaia19cqs,2019-06-25 07:11:10,47.92058,53.35101
Gaia19cju,2019-06-15 10:10:33,220.36135,-59.82127
Gaia19chh,2019-06-13 02:51:39,25.32869,56.69505
Gaia19cgh,2019-06-11 12:57:54,29.51127,62.81362
Gaia19cgg,2019-06-10 18:53:31,34.8169,65.82342
Gaia19cex,2019-06-08 22:08:27,196.91913,-64.80766
Gaia19cet,2019-06-08 22:10:07,193.91036,-63.60406
Gaia19cef,2019-06-07 12:47:00,38.83349,72.11595
Gaia19cdq,2019-06-07 01:02:50,1.35832,64.82257
Gaia19ccp,2019-06-05 16:16:20,164.04281,-60.70041
Gaia19cco,2019-06-05 16:15:43,164.50397,-61.35153
Gaia19ccj,2019-06-04 09:01:19,332.33533,58.42462
Gaia19cci,2019-06-04 09:03:04,331.16153,56.95427
Gaia19bzu,2019-05-28 16:55:37,110.25248,-12.2613
Gaia18dek,2018-10-25 18:52:20,81.80376,-66.59813
Gaia18bmd,2018-06-08 21:56:22,197.12023,-9.98276
